id,n_positive_sentiment,n_negative_sentiment,n_tokens,sentiment_score,avg_valence,n_low_valence,n_high_valence,avg_arousal,n_low_arousal,n_high_arousal,avg_dominance,n_low_dominance,n_high_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,n_low_intensity_anger,n_low_intensity_anticipation,n_low_intensity_disgust,n_low_intensity_fear,n_low_intensity_joy,n_low_intensity_sadness,n_low_intensity_surprise,n_low_intensity_trust,n_high_intensity_anger,n_high_intensity_anticipation,n_high_intensity_disgust,n_high_intensity_fear,n_high_intensity_joy,n_high_intensity_sadness,n_high_intensity_surprise,n_high_intensity_trust,avg_prevalence,n_low_prevalence,n_high_prevalence,min_prevalence,max_prevalence,avg_socialness,n_low_socialness,n_high_socialness,avg_sd_socialness,n_controversial_socialness,min_socialness,max_socialness,avg_Auditory_sensorimotor,avg_Gustatory_sensorimotor,avg_Haptic_sensorimotor,avg_Interoceptive_sensorimotor,avg_Olfactory_sensorimotor,avg_Visual_sensorimotor,avg_Foot_leg_sensorimotor,avg_Hand_arm_sensorimotor,avg_Head_sensorimotor,avg_Mouth_sensorimotor,avg_Torso_sensorimotor,n_low_Auditory_sensorimotor,n_low_Gustatory_sensorimotor,n_low_Haptic_sensorimotor,n_low_Interoceptive_sensorimotor,n_low_Olfactory_sensorimotor,n_low_Visual_sensorimotor,n_low_Foot_leg_sensorimotor,n_low_Hand_arm_sensorimotor,n_low_Head_sensorimotor,n_low_Mouth_sensorimotor,n_low_Torso_sensorimotor,n_high_Auditory_sensorimotor,n_high_Gustatory_sensorimotor,n_high_Haptic_sensorimotor,n_high_Interoceptive_sensorimotor,n_high_Olfactory_sensorimotor,n_high_Visual_sensorimotor,n_high_Foot_leg_sensorimotor,n_high_Hand_arm_sensorimotor,n_high_Head_sensorimotor,n_high_Mouth_sensorimotor,n_high_Torso_sensorimotor,avg_sd_Auditory_sensorimotor,avg_sd_Gustatory_sensorimotor,avg_sd_Haptic_sensorimotor,avg_sd_Interoceptive_sensorimotor,avg_sd_Olfactory_sensorimotor,avg_sd_Visual_sensorimotor,avg_sd_Foot_leg_sensorimotor,avg_sd_Hand_arm_sensorimotor,avg_sd_Head_sensorimotor,avg_sd_Mouth_sensorimotor,avg_sd_Torso_sensorimotor,n_controversial_Auditory_sensorimotor,n_controversial_Gustatory_sensorimotor,n_controversial_Haptic_sensorimotor,n_controversial_Interoceptive_sensorimotor,n_controversial_Olfactory_sensorimotor,n_controversial_Visual_sensorimotor,n_controversial_Foot_leg_sensorimotor,n_controversial_Hand_arm_sensorimotor,n_controversial_Head_sensorimotor,n_controversial_Mouth_sensorimotor,n_controversial_Torso_sensorimotor,min_Auditory_sensorimotor,min_Gustatory_sensorimotor,min_Haptic_sensorimotor,min_Interoceptive_sensorimotor,min_Olfactory_sensorimotor,min_Visual_sensorimotor,min_Foot_leg_sensorimotor,min_Hand_arm_sensorimotor,min_Head_sensorimotor,min_Mouth_sensorimotor,min_Torso_sensorimotor,max_Auditory_sensorimotor,max_Gustatory_sensorimotor,max_Haptic_sensorimotor,max_Interoceptive_sensorimotor,max_Olfactory_sensorimotor,max_Visual_sensorimotor,max_Foot_leg_sensorimotor,max_Hand_arm_sensorimotor,max_Head_sensorimotor,max_Mouth_sensorimotor,max_Torso_sensorimotor,avg_iconicity,n_low_iconicity,n_high_iconicity,avg_sd_iconicity,n_controversial_iconicity,min_iconicity,max_iconicity
u487p5,0.043252595155709346,0.058823529411764705,0.8355167394468704,0.3480240393370971,0.6282552,0.05177495834935281,0.19278299555116166,0.26078436,0.31660899653979235,0.02941176470588235,0.4187565,0.12301812735629808,0.10651828298887121,0.3827699156051526,0.5619771941607072,0.23827629318245866,0.25272331659107217,0.48249027515603554,0.27941175566007315,0.36695866025181445,0.4296715831384876,0.0,0.0,0.026816608996539794,0.046712802768166084,0.0,0.12975778546712802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9326467543989225,0.0,0.4121717891308773,0.667957966887911,1.0,0.3669917908985947,0.050173010380622836,0.171280276816609,0.6312797823449031,0.30993573900148297,0.09580749926188367,0.755894590846047,0.3496739007001546,0.1293561172119757,0.49013263160560716,0.3018876563467721,0.2104651812191199,0.6984872425883093,0.3247121964044999,0.4957964410392522,0.49228962349665767,0.2502470115121304,0.2548648913289428,0.3645877289222719,0.4185467128027682,0.4211566979733069,0.41342560553633223,0.4185467128027682,0.20168067226890754,0.3911722508228543,0.3956170703575548,0.4119142210261011,0.38148788927335636,0.4044645117731454,0.028546712802768166,0.0,0.0,0.08304498269896193,0.0,0.33436532507739936,0.02768166089965398,0.05536332179930796,0.1643598615916955,0.0461361014994233,0.0,0.5325599152696773,0.41825950978694415,0.6338566285697719,0.4394119300744068,0.4125235026318856,0.5930267198221454,0.3398241686205361,0.5499817621455455,0.30136478209694334,0.26450071476979253,0.3541790057703648,0.21222606689734716,0.11707035755478662,0.0726643598615917,0.13970588235294115,0.11707035755478662,0.26099851705388033,0.1453287197231834,0.1484429065743945,0.2973856209150327,0.14749134948096887,0.12918108419838525,0.025806452000000004,0.0,0.0,0.0,0.0,0.1997780245283019,0.0,0.041304347818903596,0.1836734696014161,0.027941176473875437,0.0,0.7321428571916455,0.3586497889620253,0.5767835550739331,0.8349664054343102,0.3684210525771325,0.9790123455148423,0.7217058500830266,0.7205882352612457,0.8642659278278176,0.7209892199999999,0.6905754794437886,0.6301755175517553,0.1890138408304498,0.33752752437873546,0.2791564974111736,0.08823529411764705,0.0,0.9487179487179487
u825p5,0.23349436392914652,0.12318840579710146,0.8981077147016012,0.4522840918721926,0.6730486,0.12047474205284188,0.30710835058661146,0.42475978,0.18357487922705315,0.1460010735373054,0.5353714,0.13358329127310306,0.34408321364843103,0.3726826581747706,0.5789036289921745,0.22137726228343285,0.2841486690476797,0.4397813815997481,0.3497162043810706,0.2907428461249995,0.6042149055890795,0.02254428341384863,0.0,0.0499194847020934,0.10144927536231883,0.12560386473429952,0.20128824476650561,0.028985507246376812,0.0,0.05475040257648953,0.0644122383252818,0.0,0.0,0.018250134192163175,0.01610305958132045,0.0,0.06763285024154589,0.9346992025276676,0.01932367149758454,0.5797101449275363,0.2956621526115573,1.0,0.49295380016739043,0.10507246376811594,0.44873859366612995,0.5493827982672685,0.3758914193696803,0.09580749926188367,0.979657882570504,0.6554317053511831,0.1754927840911605,0.5422866478049257,0.41291834605771327,0.2935001634303274,0.5878039378396251,0.3728106672650799,0.47062862056231003,0.6503542608319233,0.44499736639642,0.31783735541546154,0.43831742665252743,0.5773913043478262,0.5355417529330573,0.5454428341384864,0.5756521739130436,0.3450655624568668,0.5425945563803465,0.5584045584045584,0.46280889047931456,0.5163043478260869,0.5567338282078473,0.1682769726247987,0.008450412917903943,0.1066447908121411,0.14170692431561996,0.02589908749329039,0.2929061784897025,0.09017713365539452,0.1288244766505636,0.3462157809983897,0.12023617820719269,0.0,0.7157599473005336,0.5238440752612663,0.6313648731224479,0.5568473290897427,0.5101086994412192,0.6715929998037387,0.3994930141235949,0.5038966621949653,0.3489124718434255,0.6663214518596604,0.4239084575265285,0.38271604938271603,0.1867954911433172,0.1972624798711755,0.23953301127214172,0.21792807300053674,0.3492063492063492,0.2640901771336554,0.20547504025764896,0.4410449096439435,0.3498389694041868,0.2404723564143854,0.0,0.0,0.0,0.0,0.0,0.23222060943396228,0.0,0.041304347818903596,0.2857142856588921,0.027941176473875437,0.0,0.8292410714255222,0.7422324510379746,0.8340112126078849,0.8776595745011884,0.7554858933624473,0.9111111109935804,0.9983597593158012,0.8010380623736515,0.8642659278278176,0.8527443106024096,0.7250159448087167,0.4651606025232396,0.3365539452495974,0.38208168642951257,0.4055983957779984,0.18250134192163175,0.0,0.7179487179487178
u795p3,0.16556291390728478,0.2392384105960265,0.8733624454148472,0.3590972464273266,0.67651385,0.18579838116261954,0.368968779564806,0.42030582,0.22847682119205298,0.23454746136865343,0.533306,0.10791242463180784,0.26382674064793266,0.5734538200825015,0.6140988351945428,0.5645120388892729,0.6042037829779208,0.4500648451778015,0.6778309838604889,0.37988571286298795,0.4449865339406932,0.011589403973509934,0.0,0.05132450331125828,0.07450331125827815,0.15066225165562913,0.0,0.04470198675496689,0.04304635761589404,0.056291390728476824,0.033112582781456956,0.041390728476821195,0.13245033112582782,0.018763796909492272,0.11589403973509935,0.0,0.046357615894039736,0.9356261677245304,0.006622516556291391,0.6135566809505258,0.19176368314286552,1.0,0.4178313686316267,0.07201986754966888,0.370309050772627,0.5837636026895083,0.4493850520340587,0.09580749926188367,0.8843042071197411,0.574634836806728,0.1685074111503082,0.49188555073440127,0.48025161001905675,0.2820170334335495,0.47519375148199944,0.33996614760651317,0.3920414204253614,0.5993536386410461,0.357767601222127,0.3227306045589633,0.5124374091423034,0.6222516556291391,0.5941343424787133,0.5800000000000001,0.6204635761589404,0.4512771996215705,0.583306412534324,0.6032433350314145,0.5321467991169978,0.5774006622516555,0.5887578743337102,0.0728476821192053,0.0,0.03654879420217418,0.10596026490066225,0.0,0.16939700243987452,0.052980132450331126,0.15894039735099338,0.26490066225165565,0.08830022075055188,0.033245033112582784,0.7032700289203997,0.5514460819119591,0.6168265851215413,0.6265875728291096,0.5372856452902882,0.7043378964029289,0.40726530283114576,0.4452613534368868,0.43559175314457843,0.6007545519617019,0.42593494446207353,0.35540838852097123,0.19205298013245034,0.12748344370860926,0.513658940397351,0.2400662251655629,0.4631031220435194,0.2781456953642384,0.2112582781456954,0.5785504047093452,0.31870860927152317,0.29359823399558505,0.0,0.0,0.0,0.0,0.0,0.2358490566037736,0.0,0.019668737213970652,0.29651860735453367,0.05882352947750865,0.0,0.7142857141556122,0.5274261604050633,0.9480759656781693,0.8776595745011884,0.5517241378311535,0.9811111111144692,0.7818480043137471,0.9385026737280592,0.9692982457336105,0.8858592262650601,0.7543786488905956,0.44324585166234354,0.298841059602649,0.37537627934978934,0.5279167445248368,0.3096026490066225,0.0,0.6666666666666665
u709p1,0.09852216748768473,0.1116584564860427,0.8806404657933042,0.36457523118140184,0.65530014,0.07370917715745301,0.22167487684729062,0.38974068,0.20689655172413793,0.13026819923371646,0.41338906,0.1556748278312869,0.09514933652864686,0.5245365088850896,0.4833886706025534,0.5842838965423721,0.3973221787567724,0.4968871550886027,0.32094942758010914,0.20971428317926372,0.30137154132748384,0.011494252873563218,0.0,0.0,0.0,0.06403940886699508,0.08210180623973727,0.029556650246305417,0.08538587848932676,0.0,0.0,0.0,0.0,0.00930487137383689,0.0,0.0,0.0,0.9419303542696033,0.0,0.4815995363662707,0.7020102405449805,1.0,0.27445632426550337,0.10714285714285714,0.12643678160919541,0.5550189643511737,0.10696692470091486,0.09580749926188367,0.6351132686084143,0.3238796729782695,0.4045461434756716,0.6176748309525544,0.41235101320827955,0.44182550034946905,0.4785101316410602,0.32739033285628366,0.4910511550416842,0.39503054242986635,0.5165384174521168,0.3381279995262325,0.439745284152349,0.42916256157635474,0.4316209242317616,0.47047619047619055,0.45399014778325125,0.3603096410978184,0.44875645800792985,0.4332449160035367,0.5333627278071723,0.39901477832512317,0.46137210140574314,0.027093596059113302,0.21542308793178772,0.07249744400037178,0.1444991789819376,0.21127531472359057,0.1866735805029816,0.03940886699507389,0.13136288998357964,0.13136288998357964,0.2889983579638752,0.0,0.5020025186388656,0.621532005098355,0.6323205829225246,0.5421629718997648,0.5718322984330507,0.6169945645812895,0.3330593942022486,0.43768293602258995,0.293646508145215,0.5659996601539835,0.41976260957165773,0.24338624338624334,0.15873015873015872,0.13793103448275862,0.23727422003284074,0.1111111111111111,0.24771287825475016,0.1510673234811166,0.16978653530377671,0.34738186462324394,0.19417077175697864,0.1685823754789272,0.0444444448,0.0,0.0,0.0,0.0,0.16771488452830188,0.0,0.019668737213970652,0.2857142856588921,0.029411764738754325,0.0,0.7499999999241072,0.9523454950886077,0.9480759656781693,0.9192154255362118,0.7386569872233557,0.8950617283297668,0.8732640786530265,0.8816526611184297,0.7867036012407057,0.9879518072289156,0.7206005003263757,0.5537715769218529,0.25738916256157635,0.354978354978355,0.44670638094284426,0.167487684729064,0.0,0.7948717948717947
u282p2,0.26182432432432434,0.11486486486486487,0.8558951965065502,0.47501778093883357,0.6789757,0.1263763763763764,0.32577220077220076,0.4020113,0.27364864864864863,0.23930180180180177,0.5944833,0.09008168616377571,0.5016435354273192,0.5550708895528528,0.5481727314887973,0.8174905040627926,0.4192513211554491,0.5324974909130455,0.4423804840733802,0.5085714245815667,0.5306001330337846,0.0,0.0,0.0,0.030405405405405407,0.04391891891891892,0.04222972972972973,0.0,0.08783783783783784,0.057432432432432436,0.033783783783783786,0.08445945945945946,0.016891891891891893,0.028716216216216214,0.016891891891891893,0.057432432432432436,0.05912162162162163,0.9368727083393847,0.006756756756756757,0.6814387917329093,0.28524917412615636,1.0,0.42971228752680446,0.12246621621621623,0.38400900900900903,0.5638429479991619,0.4218146718146718,0.09580749926188367,0.9145631067961164,0.5030946468132859,0.1562415713573604,0.41958308781299575,0.3328094120111408,0.24798447357537198,0.4485222097087407,0.28107471159765846,0.34584615884735403,0.44805944485705285,0.3121337521425001,0.2475850906104175,0.5728823335530653,0.6859459459459459,0.6872586872586872,0.6916891891891893,0.6859459459459459,0.5386100386100386,0.6729976928147661,0.7003638253638254,0.6348588171504839,0.6651182432432432,0.6729976928147661,0.11148648648648649,0.008864368956112076,0.037289648138704744,0.02702702702702703,0.0,0.28325035561877665,0.06756756756756757,0.0945945945945946,0.17736486486486486,0.0990990990990991,0.1356756756756757,0.6394965582795015,0.5245456893628737,0.5412133035252679,0.562244852114862,0.4812487105709979,0.6699501246920654,0.36896180644035126,0.4168379023429791,0.34209291996691416,0.5361590838255577,0.3715010886560417,0.3885135135135135,0.13063063063063063,0.11233108108108107,0.42356418918918914,0.13063063063063063,0.44594594594594594,0.30405405405405406,0.20439189189189189,0.5424174174174174,0.26013513513513514,0.2364864864864865,0.0,0.0,0.0,0.0,0.0,0.15888778566037737,0.0,0.0,0.2857142856588921,0.0,0.0,0.8583333332296131,0.966244725670886,0.9032648126629519,0.844414893625297,0.5131845842422887,1.0,0.9021323125466482,0.7794117647387544,0.94736842099446,0.8737808375903614,0.7656380316502562,0.42592165804050547,0.3369932432432432,0.45869164619164626,0.5109107540171604,0.3063063063063063,0.0,0.5555555555555556
u184p1,0.26246719160104987,0.2900262467191601,0.5487627365356623,0.40495924851498827,0.66503024,0.17672790901137356,0.40494938132733405,0.34621766,0.4094488188976378,0.26771653543307083,0.41776663,0.37325185098131386,0.15208909697098671,0.3668484229176416,0.5635759777042983,0.11913814895199629,0.4068627281931132,0.451088831351379,0.37358100652747755,0.42800001222746703,0.34476621951708497,0.03674540682414698,0.0,0.04068241469816273,0.09448818897637795,0.30708661417322836,0.19685039370078738,0.047244094488188976,0.06824146981627296,0.0,0.05249343832020997,0.0,0.026246719160104987,0.014873140857392823,0.0,0.08923884514435695,0.01837270341207349,0.937001975026835,0.0,0.7725798981009726,0.7723523909895471,1.0,0.24828961548619863,0.32349081364829396,0.2020997375328084,0.5179160656674924,0.2849643794525684,0.09192436554087881,0.8446601941747572,0.45666030049844797,0.1508151243439374,0.5311632604088425,0.32356924865067827,0.2630207486497796,0.552337784028723,0.30581621068144776,0.39071376479475767,0.4479695540091866,0.25723340795489136,0.2529195244946099,0.6596888803533705,0.7710236220472442,0.7079115110611174,0.7428871391076117,0.7681889763779528,0.5084364454443194,0.7259458421355868,0.7419745608721986,0.7364878001360942,0.7204724409448819,0.7633954292298829,0.15879265091863518,0.041320523008018493,0.28970435299361164,0.1889763779527559,0.0,0.43265644426025696,0.04199475065616798,0.14698162729658792,0.30183727034120733,0.15398075240594924,0.052703412073490816,0.5163018751089938,0.4405835739300371,0.5485939139755274,0.39057990903968326,0.44087679631360244,0.6314975057730567,0.33494841990886043,0.3925760937844471,0.36985428681074467,0.3575715115647272,0.33949985423115,0.45610965296004663,0.17760279965004372,0.14698162729658792,0.2900262467191601,0.1268591426071741,0.5114360704911886,0.3464566929133858,0.2829396325459318,0.6197142023913678,0.24540682414698162,0.3062117235345582,0.0,0.0,0.0,0.0,0.0,0.23222060943396228,0.0,0.019668737213970652,0.29651860735453367,0.0,0.0,0.9392857142846301,0.8332092330126581,0.9089925539210634,0.9042553191540289,0.6713995943221656,0.9370370369223044,0.907545106530256,0.9385026737280592,0.9692982457336105,0.9397590361445782,0.885388987090508,0.6242291044226644,0.31167979002624674,0.6850393700787402,0.4761815591389871,0.20822397200349954,0.0,0.8391608391608391
u282p7,0.3211805555555555,0.07378472222222222,0.8326055312954876,0.5321637426900585,0.70585763,0.07793209876543208,0.38690476190476186,0.42049724,0.25,0.30497685185185186,0.6254192,0.051435530679933665,0.5470157657657657,0.43157032499871467,0.5598006868197694,0.26108998961767743,0.3483362816544246,0.49156939245761183,0.25283797156716914,0.3728000149318149,0.4726730596865916,0.012152777777777776,0.043402777777777776,0.05381944444444444,0.0625,0.13541666666666666,0.08680555555555555,0.03125,0.0,0.0,0.0,0.0,0.0,0.019675925925925923,0.0,0.0,0.060763888888888895,0.9382029478391818,0.0,0.6507352941176471,0.7250876701110364,1.0,0.5891076284866695,0.0881076388888889,0.566550925925926,0.48790153850596596,0.4052579365079365,0.09580749926188367,0.979657882570504,0.5898700853533347,0.1851051307418302,0.47141679655465174,0.41736970389565736,0.3041423978468194,0.49599233859809927,0.2972846085554279,0.37405374251685103,0.5311873749392121,0.3329366151587837,0.2692613192964337,0.5506859756097562,0.6506250000000001,0.6369047619047619,0.6323611111111112,0.654375,0.46428571428571425,0.6383384146341464,0.6456552706552706,0.5727773491083678,0.6171875,0.6459603658536586,0.15277777777777776,0.009110601427115188,0.07665094339622641,0.027777777777777776,0.0,0.2220394736842105,0.013888888888888888,0.05555555555555555,0.2517361111111111,0.046296296296296294,0.0,0.691435847622893,0.5980356407481034,0.5924091515016437,0.6306379224672662,0.5468830067504076,0.6919658912340478,0.37564215572180226,0.430606329997669,0.37457323373339174,0.5405974155099046,0.3817156903720786,0.41705246913580246,0.21817129629629628,0.1154513888888889,0.42057291666666663,0.2517361111111111,0.46378968253968256,0.1875,0.1871527777777778,0.5214120370370371,0.21484375,0.19444444444444445,0.0444444448,0.0,0.0,0.0,0.0,0.20964360603773585,0.0,0.0,0.2857142856588921,0.03287197209210259,0.0,0.9494047618026679,0.7772151898734176,0.9141475212492525,0.8776595745011884,0.5131845842422887,1.0,0.7457627117753148,0.8970588234143598,0.9692982457336105,0.9492707672289155,0.703443345536326,0.4452517842025348,0.3546006944444444,0.3707386363636364,0.49446507238539283,0.17708333333333331,0.0833333333333333,0.8717948717948718
u780p8,0.13636363636363635,0.07727272727272727,0.794759825327511,0.40430622009569384,0.7246756,0.04080808080808081,0.3077922077922078,0.42995235,0.18545454545454546,0.23696969696969694,0.60429496,0.043093622795115326,0.3819164619164619,0.4561977683422896,0.6627906815563426,0.3624657772533115,0.3450980460731402,0.636705584725347,0.38835717703101574,0.4994285489880311,0.5938090013407332,0.0,0.0,0.0,0.03272727272727273,0.023636363636363636,0.0,0.016363636363636365,0.0,0.0,0.03636363636363636,0.0,0.0,0.030909090909090907,0.0,0.06181818181818182,0.05090909090909091,0.9413764468672361,0.007272727272727273,0.4928342245989305,0.2835822131836799,1.0,0.4204573575424919,0.05272727272727273,0.30000000000000004,0.5872333964503426,0.3750649350649351,0.16817499133515615,0.7864077669902912,0.40531149005095507,0.11685238825677609,0.3885515750795436,0.32305060779071054,0.16307155985494184,0.506777373287144,0.29113604659652353,0.3870617257056366,0.43074471925895785,0.2830065143236697,0.2601350769945973,0.4390243902439025,0.4968000000000001,0.49246753246753244,0.4935272727272728,0.4968000000000001,0.3366233766233766,0.4889135254988914,0.5208391608391608,0.46998877665544336,0.4888636363636364,0.49090909090909096,0.04,0.0,0.0,0.07272727272727272,0.0,0.19119617224880384,0.05818181818181818,0.04363636363636364,0.08181818181818182,0.03878787878787879,0.036509090909090915,0.6013329013243129,0.428259795509974,0.4960145424659378,0.548000094581583,0.3672121910399825,0.684669792690646,0.37914142539533147,0.448937561057905,0.32381469705542365,0.5357275117300074,0.40415052216529324,0.2416161616161616,0.03515151515151515,0.11454545454545456,0.18545454545454548,0.05272727272727273,0.3142857142857143,0.09454545454545454,0.128,0.38121212121212117,0.13,0.1187878787878788,0.0,0.0,0.0,0.0,0.0,0.17758046603773586,0.0,0.019668737213970652,0.2857142856588921,0.0,0.0,0.7470238096204828,0.5472822039493671,0.7176186074696608,0.7301740813175439,0.5131845842422887,0.8409356723838336,0.8732640786530265,0.8417366946872632,0.8342105262983379,0.7209892199999999,0.771357083437098,0.5073384256183958,0.22454545454545455,0.33553719008264465,0.4789349144256081,0.16484848484848483,0.0,0.6923076923076923
u390p4,0.21311475409836064,0.013934426229508197,0.8820960698689957,0.48231233822260566,0.7141231,0.0,0.3583138173302108,0.3790254,0.2459016393442623,0.18579234972677594,0.59026015,0.02914117934915586,0.43934426229508194,0.11123227761178683,0.6649048642538864,0.3624657772533115,0.1313131222803362,0.5833038418537988,0.38835717703101574,0.3211428495718509,0.5403117073105534,0.011475409836065573,0.0,0.0,0.029508196721311476,0.04262295081967213,0.0,0.014754098360655738,0.04262295081967213,0.0,0.06557377049180328,0.0,0.0,0.03715846994535519,0.0,0.0,0.05737704918032787,0.9311645813879073,0.006557377049180328,0.61099324975892,0.4945777350307088,1.0,0.4323120586490909,0.17827868852459017,0.44480874316939895,0.5797732606474287,0.5072599531615926,0.10392677886034836,0.8885605740818912,0.5647908744637393,0.12905878311047494,0.435891989310795,0.31629188833677313,0.2011595598052023,0.5006278665831422,0.3269954879394528,0.44519667276817215,0.5526515566960764,0.43066387278513685,0.28337677358085706,0.4984006397441024,0.6001967213114754,0.5920374707259953,0.6009180327868853,0.5948852459016394,0.4271662763466042,0.5703718512594962,0.5890710382513661,0.5352762598664239,0.5495901639344262,0.5883646541383447,0.14426229508196722,0.0,0.018094648932879678,0.06557377049180328,0.0,0.23761863675582398,0.09180327868852459,0.13114754098360656,0.11475409836065573,0.11366120218579234,0.03291803278688525,0.6767328595952412,0.4290360889854503,0.6083058185127094,0.471836038160135,0.38739060352079147,0.6969144213659754,0.38751518688790487,0.5321094152535201,0.5151512066637618,0.6621021022828996,0.42626138449915413,0.3561020036429872,0.09508196721311475,0.1377049180327869,0.27172131147540984,0.09508196721311475,0.35550351288056203,0.28852459016393445,0.2632786885245902,0.5387978142076503,0.3020491803278688,0.2830601092896175,0.0444444448,0.0,0.0,0.0,0.0,0.23060796641509437,0.0,0.0,0.2800453514334768,0.0,0.0,0.8819444444086061,0.4835443037974684,0.7218863362971594,0.7180851063447826,0.5344827585885851,1.0,0.8732640786530265,0.9385026737280592,0.94736842099446,0.7831325301204817,0.771357083437098,0.4324406319615621,0.3348360655737705,0.36736214605067063,0.32933082415376286,0.11147540983606558,0.0,0.5897435897435896
u907p7,0.1929824561403509,0.14912280701754385,0.4090247452692868,0.41412742382271467,0.6621492,0.18375568551007146,0.41353383458646614,0.3493662,0.25263157894736843,0.09941520467836255,0.51133,0.06237234878240377,0.3812233285917496,0.5201744823609575,0.5534883865992916,0.3624657772533115,0.23351156806626386,0.3750231755581215,0.3687650557091224,0.46399999121257246,0.5809739547282818,0.0,0.0,0.0,0.06315789473684211,0.0912280701754386,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04912280701754386,0.9487203737876903,0.0,0.6873065015479877,0.8468522023033754,1.0,0.510100094262917,0.15263157894736842,0.5017543859649124,0.5176606844317676,0.4190476190476191,0.09580749926188367,0.8916158371530661,0.7037174650941432,0.144802184690898,0.541653919394185,0.48272663773359126,0.2529142701259479,0.5304227661020531,0.4392951229150472,0.5635216587253326,0.681062062969127,0.6006728870421026,0.4354880162377007,0.4852374839537869,0.6745263157894738,0.6015037593984962,0.6268070175438597,0.6745263157894738,0.4270676691729323,0.5969191270860078,0.5730994152046783,0.507201646090535,0.5565789473684211,0.6084724005134788,0.1736842105263158,0.0,0.11618669314796425,0.42105263157894735,0.0,0.27922437673130196,0.08421052631578947,0.16842105263157894,0.2982456140350877,0.3742690058479532,0.0704561403508772,0.7710142298240338,0.5173544697302885,0.6493441851647026,0.5227979508097914,0.49646220449485157,0.6968447529660045,0.437598119627345,0.5323421599369289,0.33152989355900697,0.7166524440966399,0.46632438071585,0.6187134502923977,0.0,0.06140350877192982,0.26842105263157895,0.0,0.4080200501253132,0.42105263157894735,0.2778947368421053,0.5169590643274854,0.4052631578947368,0.32748538011695905,0.0,0.0,0.0,0.0,0.0,0.2358490566037736,0.0,0.041304347818903596,0.2653061223698459,0.14705882369377163,0.0,0.8482142857115753,0.32489451483544307,0.7654171706423619,0.8349664054343102,0.3793103447847801,0.8950617283297668,0.7217058500830266,0.9385026737280592,0.8342105262983379,0.9397590361445782,0.7543786488905956,0.4106840485190642,0.4666666666666667,0.38851674641148326,0.34293506698150605,0.09941520467836255,0.0,0.6666666666666665
