,id,avg_valence,avg_arousal,avg_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,sentiment_score
0,u487p5,0.63412356,0.3290751,0.37942153,0.3827699156051526,0.4946752724722504,0.2206572810597958,0.246263098358011,0.4010217201224348,0.2318339029575866,0.6606280042069865,0.4614955437113347,0.3466666666666667
1,u825p5,0.62051,0.45522264,0.52816373,0.323882216281402,0.5186403197757777,0.2112676078507977,0.2974055219269443,0.4241926647490762,0.2964244568518049,0.2457729541248235,0.5583636497475892,0.4101408450704225
2,u795p3,0.6626222,0.4974558,0.59587634,0.4876772108822092,0.5156140246903872,0.4953051743265175,0.5042255922930858,0.4953597369006765,0.794886595114509,0.3115941892707125,0.5589999889731401,0.4039895013123359
3,u709p1,0.6559205,0.5395314,0.4529209,0.4036039407601311,0.3289473900917161,0.3414731898758261,0.3458963012851341,0.4393358988103035,0.4492503220507078,0.1702898458459608,0.4285714285714285,0.4307590759075907
4,u282p2,0.62765896,0.51185584,0.70189,0.4558342580069936,0.3258771757949828,0.3414731898758261,0.2634529246350659,0.0574712632740886,0.4230130216940678,0.4154589160281881,0.5967999456405607,0.4875698924731183
5,u184p1,0.6096117,0.4093567,0.3264223,0.4476553892121573,0.3622807120966814,0.4953051743265175,0.30418534996896,0.403717897851272,0.2800461382583041,0.6135265863930212,0.2476666717330617,0.3636363636363636
6,u282p7,0.7004631,0.5688939,0.6589691,0.5810250399958868,0.5682616041549456,0.1971831067821138,0.5394618945830439,0.5891094718067764,0.5299884585606089,0.2958937286637714,0.5096666520635278,0.5390895741556535
7,u780p8,0.649817,0.6126645,0.69965637,0.4036039407601311,0.4666666910662285,0.3414731898758261,0.3458963012851341,0.2413793152666011,0.4230130216940678,0.3365353800361221,0.4539999636411645,0.44
8,u390p4,0.7471846,0.5184809,0.7023805,0.4036039407601311,0.711184233693287,0.3414731898758261,0.167040371343628,0.5675606794257879,0.5051903134406895,0.6799516424935074,0.5954000708699269,0.4914152046783625
9,u907p7,0.7,0.3914474,0.39134023,0.4036039407601311,0.4946752724722504,0.3414731898758261,0.1928251107592103,0.1417624620966571,0.4230130216940678,0.3365353800361221,0.4614955437113347,0.5488888888888889
10,u134p3,0.49020177,0.5456192,0.41922536,0.2878953105834255,0.4940351044687719,0.5023474423504858,0.4092862493547093,0.4180502270673919,0.6297578016431633,0.6199677751597666,0.5660000780820893,0.3341902313624679
11,u357p2,0.5748067,0.45342323,0.5918205,0.5070883377889485,0.3608187252067228,0.3414731898758261,0.4820628207495384,0.4252873577436848,0.3425605495892092,0.3365353800361221,0.4772727177901696,0.4705815602836879
12,u366p10,0.65828,0.4527317,0.45853874,0.4036039407601311,0.4946752724722504,0.3414731898758261,0.7186098731446325,0.4406130216064892,0.4230130216940678,0.3365353800361221,0.4614955437113347,0.3466666666666667
13,u825p2,0.61345255,0.41579428,0.47746256,0.4252998773392304,0.6969924725347421,0.1748826263521334,0.3017937135398949,0.381609217637778,0.5588235294117647,0.380837364437791,0.4793333696921688,0.4465882352941176
14,u938p6,0.6006847,0.40409592,0.46808115,0.5329879860565431,0.3748537888933699,0.4812206732578335,0.5112107623505665,0.1417624620966571,0.6487889394676666,0.7922705464850488,0.6329999943375584,0.3648780487804878
15,u89p2,0.78401434,0.52477926,0.74671733,0.4961832227289087,0.4498245623574766,0.3414731898758261,0.5257847665617568,0.4071519780552136,0.3321799227078301,0.1745168984698514,0.4376667402784073,0.5027680311890839
16,u793p2,0.65949637,0.4010261,0.4386012,0.4661941238139927,0.5498245283723726,0.4765258279085212,0.3531390067342601,0.5412123047416757,0.3801614907788794,0.4301242138636568,0.4372727535529586,0.3961904761904761
17,u842p10,0.5329886,0.4032752,0.29956076,0.459651035278085,0.3646198806636601,0.5228873295400346,0.3707559216842225,0.4777298929152194,0.3331891799211953,0.3369565050140562,0.5580000613927878,0.3635772357723577
18,u857p8,0.716194,0.32220393,0.39085916,0.0,0.4305263040391583,0.08744131536227,0.3458963012851341,0.4470696968099387,0.3241061399935074,0.0048309185699157,0.5153333851893773,0.4613123359580052
