,id,avg_valence,avg_arousal,avg_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,sentiment_score
0,u487p5,0.68482953,0.3073729,0.4363134,0.310796071709393,0.4967133897733594,0.2432082835268511,0.2191192235048224,0.3661910967086735,0.2921675655242313,0.3241999277960057,0.4404507991946892,0.3668446291794875
1,u825p5,0.7343644,0.46144992,0.58963263,0.3962191538059282,0.5941812488094864,0.3480737512947601,0.1680988166889626,0.5507998280587635,0.3821195590313531,0.3122065825616801,0.4786779639282612,0.5396163534198798
2,u795p3,0.7630009,0.5765902,0.69340974,0.4522900891125194,0.6205000443318843,0.6190168143175643,0.5220193483572648,0.5413548882081427,0.6856101948824299,0.4480214664167923,0.5513117501403855,0.4086444947274046
3,u709p1,0.7801412,0.49593672,0.48404923,0.6477644325628041,0.4438902896971586,0.5963777666359626,0.8732545339613285,0.5833333735980369,0.4437158563920247,0.2250586809735302,0.4091150877335233,0.4372366308078177
4,u282p2,0.74668765,0.5119803,0.79238033,0.3435114493893189,0.3444721682844769,0.8292367741142108,0.325814529210563,0.5933131704447618,0.3821195590313531,0.3241999277960057,0.5186922512502201,0.4869416375713605
5,u184p1,0.7541001,0.45929536,0.5486873,0.2159214829375691,0.6625104689020193,0.0608020744961601,0.4085212865305472,0.5540423671911753,0.4245901594492609,0.5616197334747194,0.4829424283325652,0.4226700251889168
6,u282p7,0.82033765,0.5626604,0.80155766,0.3233369670283614,0.6216039441726933,0.1082363081926688,0.226817041628734,0.5367055711964065,0.2142076396476538,0.2720396633229562,0.5010660525566802,0.5655352543757152
7,u780p8,0.78119564,0.3979111,0.61652195,0.3962191538059282,0.5251157651786043,0.3480737512947601,0.3109559749800223,0.6261997826749665,0.3821195590313531,0.1830985853909768,0.471641820066545,0.3723288905199592
8,u390p4,0.8004141,0.55123615,0.7727859,0.3969465586832431,0.5827099061459697,0.3480737512947601,0.2226100805561804,0.5700389090393867,0.2732240373084679,0.4164319143519037,0.5308101675354351,0.5593209576021844
9,u907p7,0.76364076,0.49811316,0.71209526,0.4711014320909719,0.4866405451659901,0.3480737512947601,0.1581095489260514,0.5504539510333144,0.424772295605418,0.1193270726594694,0.7260688786936849,0.531041877215573
10,u134p3,0.5403101,0.5147914,0.47079918,0.2470010966084697,0.3975774799081434,0.3139284256820056,0.2807614211566948,0.3419801301225086,0.4455893638738405,0.2202660338220503,0.455579194776854,0.3791610995509801
11,u770p3,0.7623366,0.41874936,0.39096728,0.2148309681815845,0.4160432270926352,0.3337645513614681,0.2790010674617132,0.4195849541406607,0.3316939776445456,0.2570422393262017,0.3259213667331997,0.3467451196473551
12,u357p2,0.6160078,0.4981051,0.68242776,0.7048346127098813,0.6167913768774751,0.3480737512947601,0.5658431666490825,0.3763943143429594,0.5879781147383522,0.3738262766847417,0.4872887379187012,0.3982406911943201
13,u366p10,0.67700577,0.494283,0.5138844,0.3962191538059282,0.9093932090985228,0.3480737512947601,0.5037593920579204,0.5162127053255882,0.3821195590313531,0.3122065825616801,0.3944562852365589,0.4099177566689934
14,u825p2,0.6850315,0.45294684,0.55757827,0.1995637940976061,0.4270276746154144,0.1487710245234422,0.3052273668880669,0.4866283914903506,0.2664480804796877,0.3418427183320703,0.6382791186316045,0.4361410579345088
15,u938p6,0.6225843,0.51475805,0.6751246,0.6481279753979066,0.4989905980483913,0.7477360945089504,0.4628535443993956,0.3552529097223662,0.5064792853018922,0.3090766741255548,0.5434730405593077,0.4049008680083202
16,u89p2,0.81472415,0.59171194,0.7795161,0.4645583435550641,0.4873926636392164,0.6067270764194076,0.325456485202737,0.5769130796307829,0.5336065310534003,0.2772300245628675,0.5853847635408184,0.5617730807140511
17,u793p2,0.7123186,0.41855106,0.52362674,0.5234460428788147,0.6055694521582419,0.2328589930204587,0.2068743265092378,0.471537708838764,0.1759562783329695,0.384443004173768,0.4590313076248382,0.3842777425011459
18,u842p10,0.60735303,0.49600637,0.43212947,0.382551809403975,0.4527570133870894,0.6124192045111233,0.4111170655734272,0.4951825085952741,0.4759563011325598,0.2247652400335258,0.5187327925747611,0.3634962755425046
19,u857p8,0.7676664,0.29341823,0.31072915,0.2290076275095782,0.4513161466334733,0.2626132008167051,0.3327604869291269,0.483972583177037,0.4212021728921599,0.1580594753086055,0.4591328515693782,0.5125968125426681
