,id,avg_valence,avg_arousal,avg_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,sentiment_score
0,u487p5,0.6282552,0.26078436,0.4187565,0.3827699156051526,0.5619771941607072,0.2382762931824586,0.2527233165910721,0.4824902751560355,0.2794117556600731,0.3669586602518144,0.4296715831384876,0.3480240393370971
1,u825p5,0.6730486,0.42475978,0.5353714,0.3726826581747706,0.5789036289921745,0.2213772622834328,0.2841486690476797,0.4397813815997481,0.3497162043810706,0.2907428461249995,0.6042149055890795,0.4522840918721926
2,u795p3,0.67651385,0.42030582,0.533306,0.5734538200825015,0.6140988351945428,0.5645120388892729,0.6042037829779208,0.4500648451778015,0.6778309838604889,0.3798857128629879,0.4449865339406932,0.3590972464273266
3,u709p1,0.65530014,0.38974068,0.41338906,0.5245365088850896,0.4833886706025534,0.5842838965423721,0.3973221787567724,0.4968871550886027,0.3209494275801091,0.2097142831792637,0.3013715413274838,0.3645752311814018
4,u282p2,0.6789757,0.4020113,0.5944833,0.5550708895528528,0.5481727314887973,0.8174905040627926,0.4192513211554491,0.5324974909130455,0.4423804840733802,0.5085714245815667,0.5306001330337846,0.4750177809388335
5,u184p1,0.66503024,0.34621766,0.41776663,0.3668484229176416,0.5635759777042983,0.1191381489519962,0.4068627281931132,0.451088831351379,0.3735810065274775,0.428000012227467,0.3447662195170849,0.4049592485149882
6,u282p7,0.70585763,0.42049724,0.6254192,0.4315703249987146,0.5598006868197694,0.2610899896176774,0.3483362816544246,0.4915693924576118,0.2528379715671691,0.3728000149318149,0.4726730596865916,0.5321637426900585
7,u780p8,0.7246756,0.42995235,0.60429496,0.4561977683422896,0.6627906815563426,0.3624657772533115,0.3450980460731402,0.636705584725347,0.3883571770310157,0.4994285489880311,0.5938090013407332,0.4043062200956938
8,u390p4,0.7141231,0.3790254,0.59026015,0.1112322776117868,0.6649048642538864,0.3624657772533115,0.1313131222803362,0.5833038418537988,0.3883571770310157,0.3211428495718509,0.5403117073105534,0.4823123382226056
9,u907p7,0.6621492,0.3493662,0.51133,0.5201744823609575,0.5534883865992916,0.3624657772533115,0.2335115680662638,0.3750231755581215,0.3687650557091224,0.4639999912125724,0.5809739547282818,0.4141274238227146
10,u134p3,0.5618733,0.3805003,0.4447402,0.2843511416889512,0.5832641246176689,0.5129911518407204,0.3819237987140068,0.4070471438928246,0.5121493521424025,0.3251428661589719,0.4725934068218764,0.3712826843227471
11,u770p3,0.70595366,0.34056336,0.46748173,0.5768811196729324,0.5888704266306425,0.3624657772533115,0.208358072499016,0.366018158195949,0.1754386016171865,0.4259999869040082,0.4751363582791255,0.4543677847468412
12,u357p2,0.6065716,0.38755184,0.5204176,0.6157761080532766,0.5880398230316308,0.3624657772533115,0.63537329233463,0.3433852072207511,0.4024767729491111,0.4548571496788336,0.5130237158979423,0.4042035782525621
13,u366p10,0.7253844,0.36364594,0.5872897,0.4295700316925203,0.3471760665766062,0.3624657772533115,0.3973221787567724,0.2788586166391704,0.3883571770310157,0.3669586602518144,0.1921479556012232,0.5404271548436309
14,u825p2,0.62427783,0.36325532,0.49541748,0.3664122105152864,0.6075580670035418,0.2281368746430432,0.5149534275646548,0.3740125250543897,0.5165855924560324,0.333714286483064,0.4511716463882623,0.4019138755980861
15,u938p6,0.6439178,0.30646643,0.49810496,0.7636313775751467,0.5199335457714167,0.8314321738645184,0.6260928176295162,0.5032425101418252,0.6824905416838232,0.7760000247955321,0.3915628175567334,0.3813632441760138
16,u89p2,0.7368508,0.37025568,0.57281834,0.3282442753053405,0.5876838783494939,0.5944233339679232,0.5882352636497188,0.5013690611261301,0.4349844947955732,0.1874285664947666,0.5188651059835367,0.4684041564585621
17,u793p2,0.6704685,0.33010432,0.47286814,0.3493275172546348,0.6906146644852554,0.812420785350017,0.3262031973348614,0.4289667331665627,0.2987616135254444,0.2566857060646525,0.4309172729397213,0.433577258654658
18,u842p10,0.60601187,0.32163626,0.36991504,0.3661395696388628,0.5494185873817956,0.5363329046290707,0.4186247463875365,0.5024233907803711,0.4034442873714055,0.2810285493218171,0.5007077629546947,0.3615430622009569
19,u857p8,0.7128337,0.23269202,0.37981984,0.3664122105152864,0.3877076211964414,0.0944233174425545,0.8270944757709939,0.4784756973748424,0.381492954287973,0.2704762112202286,0.346168312443357,0.6101139946640796
20,u989p4,0.6194039,0.33672076,0.44425318,0.7528171319739791,0.4356312409132619,0.8314321738645184,0.446028928128661,0.1284046617404444,0.6114550902675147,0.4639999912125724,0.6251416032177598,0.3480861244019139
21,u330p5,0.65329486,0.40788028,0.5170915,0.3998091741363681,0.537055970147776,0.2899239439735798,0.3288084479044512,0.5314886958068576,0.3649810833676464,0.3329523688303371,0.6098281374689641,0.3778032036613272
22,u529p4,0.61733437,0.47350207,0.59761566,0.575899690517343,0.5212926702920548,0.358428377378249,0.6152931505637661,0.3787289456106251,0.538847097290652,0.473142866806108,0.4991909834037181,0.3542151839776432
23,u300p7,0.70771736,0.28721023,0.44349137,0.2873500613303848,0.4763750256933644,0.1039290305859409,0.3675975413439142,0.6613705438980004,0.4112956463019714,0.304428583345851,0.5947526852803261,0.4565418828762045
24,u312p2,0.7218407,0.3257734,0.3734431,0.4295700316925203,0.5714285926452224,0.3624657772533115,0.1782531063065222,0.6936682220245236,0.008255934499046,0.3588571603054901,0.4065685397375316,0.4846491228070175
25,u123p6,0.635732,0.260004,0.31651554,0.2551799329034996,0.4613787148446457,0.2877059562013422,0.3450187857107963,0.5366656801492157,0.2153422819857044,0.0891428582230392,0.3132502810463578,0.3488529014844804
26,u936p4,0.6428691,0.36578012,0.5382229,0.2324972779787096,0.5310868421855142,0.2921419317458173,0.3005050612482635,0.4494163450821422,0.4759546000823516,0.2852571412047561,0.4668176290960305,0.4537891119551456
27,u254p2,0.74957484,0.3835296,0.5344471,0.4295700316925203,0.7358804318940693,0.3624657772533115,0.3973221787567724,0.2801556554846044,0.3883571770310157,0.3669586602518144,0.583805141551916,0.5089858793324776
28,u545p2,0.6908482,0.29565698,0.44664255,0.4678298715731148,0.7619047901936299,0.4157161081791618,0.4218657089786066,0.3019455215467413,0.3756450249927385,0.7314285573667411,0.3357870465811303,0.3794258373205741
29,u966p4,0.680489,0.36804166,0.5387488,0.8151581307333315,0.6112956346825369,0.8314321738645184,0.4376113926500313,0.4370946886481541,0.4527003918651776,0.4639999912125724,0.4280860861160871,0.405458089668616
30,u610p7,0.7003011,0.3524844,0.46921653,0.3794983550872955,0.5245016675439045,0.1888466301635751,0.3351158444603043,0.4393799199562173,0.1408668766833391,0.2228571413001236,0.5160437745143505,0.4598695534015762
31,u269p1,0.65264153,0.19145554,0.30997974,0.6117775268648276,0.5199335457714167,0.6839881882896922,0.245593177641291,0.4172071075718715,0.1609907184063698,0.3211428495718509,0.4002588178083825,0.3647612408504705
32,u248p2,0.61920595,0.4029967,0.555887,0.4895189749145044,0.4342192444982536,0.653781174098834,0.4952465673930333,0.2849731565528592,0.4557963580515665,0.3388571114296819,0.5615154349026164,0.3248272195640617
33,u892p2,0.64269686,0.3954011,0.4748164,0.5557524754940085,0.524312902999678,0.7900295339973035,0.3468805542488019,0.4529831535894414,0.3529411909438829,0.47291429151029,0.4461305650857733,0.3928292725223272
34,u918p1,0.75597894,0.36599842,0.47822514,0.4295700316925203,0.5961378368306012,0.3624657772533115,0.2008318442317844,0.7071030783306517,0.3525971878663394,0.4028571384050409,0.6175159889625431,0.5170951675864854
35,u655p9,0.62486583,0.41595164,0.43711796,0.3418757016301968,0.6720023715123856,0.171947618150685,0.4454743180865227,0.403545196991326,0.4326625586004706,0.6022857291163229,0.4976216869639717,0.347953216374269
36,u917p1,0.60359967,0.2908247,0.29169452,0.31952018975727,0.4338870129597528,0.3466413134774764,0.1283422399051886,0.3339818591984029,0.2899896734489659,0.1337142745621351,0.4156285130794729,0.3772530641672675
37,u396p4,0.66423535,0.35544103,0.5267437,0.3615049022383072,0.5523255514617791,0.3624657772533115,0.3281837855849598,0.3125810854628384,0.1981424202881666,0.4902857074542922,0.5366175694508853,0.3553909044455799
38,u920p10,0.6473586,0.33857772,0.50099236,0.5572518865650156,0.4521963816614131,0.3992395412487768,0.5081401884014032,0.4638132250147093,0.5376677372538632,0.1428571501556707,0.5134551914159593,0.4191827054638329
39,u691p8,0.65777963,0.2635102,0.5101243,0.5943293557686865,0.4584717507646622,0.3624657772533115,0.4194889959953463,0.2853437335581096,0.3883571770310157,0.2765714162028567,0.3822196715304866,0.3892921960072595
40,u165p3,0.6508736,0.3487383,0.5057391,0.6669575182679788,0.6158638059605437,0.3624657772533115,0.4874232367220023,0.4040207585742607,0.4680082673919774,0.3165714458348798,0.3079377724819873,0.3886501969208736
41,u969p10,0.5874306,0.38332796,0.48760077,0.4978189704880308,0.57701598354991,0.8550908360092903,0.4740499453170347,0.2535668036755348,0.4962942087781588,0.7182857673654747,0.4759841887713492,0.3126641905969744
42,u690p9,0.7053376,0.44158855,0.5914937,0.4295700316925203,0.5508305342912849,0.3624657772533115,0.2269756339240814,0.6744487773345719,0.0,0.2674285746691178,0.5569082592055423,0.5291940789473685
43,u880p1,0.7268932,0.2643172,0.47565106,0.221374040467589,0.4462901257083744,0.1482889748920488,0.2335115680662638,0.6147859954516088,0.2414860699206169,0.1874285664947666,0.5973952703208971,0.4479110146500271
44,u906p1,0.59375,0.47716132,0.57701963,0.6281351994548873,0.6101091854124265,0.5722433429287336,0.5446226919663819,0.5013896637696889,0.6609907337842453,0.4253333345027197,0.4731030501511987,0.4011908008362876
45,u466p6,0.62220985,0.21932036,0.4523988,0.4295700316925203,0.4285714073547775,0.3624657772533115,0.3973221787567724,0.4447144904721255,0.3883571770310157,0.3669586602518144,0.462560728517474,0.3421052631578947
46,u355p2,0.67061645,0.35635957,0.54333466,0.5002726083766171,0.5675526075348983,0.3669201505563074,0.1792037879582552,0.5374513637007666,0.4520123857100905,0.241142858427398,0.5838680538145554,0.4419090676448008
47,u752p9,0.5593195,0.3284794,0.41530105,0.1155943285107737,0.4595791892263317,0.693071361919895,0.3213648799078678,0.3979247726360095,0.4396284902087835,0.3302857251653865,0.4554548104322572,0.3285296574770259
48,u898p1,0.6711103,0.3325059,0.4472208,0.8004362384022004,0.540974530004503,0.2382762931824586,0.2156862738153782,0.4536316536851007,0.2502579946192197,0.6068571669130908,0.3730464291148231,0.3811583753905311
49,u846p4,0.68087226,0.37570316,0.5144735,0.5905125134979822,0.6196013736395388,0.2826362374885666,0.2911467428092659,0.5310785369873404,0.0995872070714607,0.6360000232628412,0.4063942484691462,0.4564579973610908
50,u983p3,0.6304971,0.39590284,0.5228915,0.4961832227289087,0.5622923491002471,0.3624657772533115,0.4269162019332153,0.5337224398330814,0.3570691356071511,0.514285704797628,0.4977349560376939,0.3603346732728802
51,u854p2,0.5823751,0.2813281,0.4544394,0.3533260659432773,0.7408637564550246,0.3624657772533115,0.6417112172337988,0.5525292131860089,0.4840041490738643,0.3919999991825649,0.4842258301819825,0.3742580134546893
