(0.15575116103402395, -0.00254048818179141)
(-0.05764647853756111, 0.1934988674651271)
(0.07412427563005226, 0.17523482539095658)
(-0.22841045466135013, -0.057030433710148515)
(-0.0833777811202826, -0.05572402718065686)
(0.009561069197595381, 0.08673903932721874)
(0.1681051018623532, 0.05203712395455059)
(-0.03117848798882455, -0.021674781813081183)
(-0.22405340710213992, -0.08215429907391651)
(0.15487308689391938, -0.24384656953008144)
(-0.1331723664900854, 0.08264275889720035)
(0.08956902932589071, 0.1179413964624843)
(0.10125907670498467, -0.22925301432814524)
(-0.08367400788870133, -0.08753271019658833)
(0.08827018314012595, 0.07166231251687143)
